511,V,"Ap #950-8897 Et, Avenue",005-213-9939,Alness,1,115
202,Shelly,348-6530 Id Avenue,021-776-2952,Malbaie,1,143
641,X,669-3402 Consectetuer Rd.,025-278-5678,Schwedt,1,14
917,D,Ap #504-2032 Amet Av.,044-536-1568,Pocatello,0,88
315,Daphne,Ap #373-7198 Lectus Ave,058-007-6990,Empoli,0,463
689,George,5171 Blandit Rd.,043-920-2017,Levin,0,785
146,N,Ap #637-9072 Eget Street,022-017-9280,Westkapelle,0,636
347,M,"Ap #217-5407 Orci, Av.",090-976-6229,Idaho Falls,0,614
924,Fredericka,187-9451 Eu St.,019-758-4478,Rio Marina,0,28
380,W,Ap #323-5769 Neque Rd.,095-499-6051,Wanneroo,0,842
920,Abdul,"P.O. Box 957, 289 Arcu. Street",011-477-0965,Uitbergen,1,942
471,P,"P.O. Box 972, 1027 Sit Rd.",056-022-2436,Vanier,0,428
408,M,Ap #667-9805 Suspendisse Avenue,083-542-8884,Judenburg,0,664
519,N,Ap #826-5417 Elementum Rd.,062-189-2717,Torella del Sannio,1,392
352,T,"P.O. Box 153, 1891 Dignissim. Ave",050-349-2078,Springfield,0,424
151,L,"908-2666 In, Rd.",033-853-7591,Lillois-Witterze,1,574
930,A,"P.O. Box 523, 6164 Vel Ave",021-796-7956,Raurkela Civil Township,0,200
520,Amaya,Ap #621-1089 Semper Av.,034-130-3476,Genzano di Lucania,1,577
855,Candace,"701-2201 Aliquet, St.",085-915-0707,Devon,1,173
4,Madonna,"P.O. Box 545, 7925 Ut Road",090-841-2831,Caplan,0,735
238,Desirae,"P.O. Box 452, 8743 Arcu. Av.",091-685-2527,Mont-Saint-Andr,1,403
30,Orli,"P.O. Box 517, 9405 Porttitor Avenue",077-333-4075,Tilly,1,337
330,Ayanna,846-6764 Dictum Rd.,042-243-6482,Neunkirchen,1,440
474,Grant,179-741 Erat Rd.,015-456-9507,Monfumo,1,347
839,Raphael,"P.O. Box 391, 7208 Arcu Road",001-088-3669,Thorn,1,826
367,Fritz,4729 Aliquam St.,009-562-6222,Almería,1,191
945,Phelan,"P.O. Box 530, 848 Imperdiet, St.",068-717-0411,Sainte-Marie-Chevigny,1,122
626,Basil,414-6652 Aenean Av.,075-054-6990,Edam,0,49
406,S,"P.O. Box 719, 1283 Eleifend. St.",061-842-4938,Eernegem,1,156
42,B,616-1951 Sagittis Rd.,088-145-2557,Schellebelle,1,396
373,K,690-132 Id Street,094-317-4933,Coaldale,0,413
14,Barclay,882-7251 Massa. Ave,000-955-0883,Tampa,1,52
766,Portia,Ap #647-5455 Cum Avenue,060-105-2893,Schaarbeek,1,87
87,H,4864 Dui. St.,097-305-5154,Burgos,1,696
479,Miriam,Ap #710-5067 Orci Rd.,002-979-9628,Warren,0,893
97,O,"P.O. Box 471, 355 Pretium Av.",060-406-0162,Marneffe,1,441
301,Irene,"P.O. Box 714, 3661 Augue Rd.",071-526-5549,Speyer,1,537
850,Dominique,"P.O. Box 317, 7644 Rutrum St.",046-047-3233,Basildon,0,390
940,H,8397 Non Av.,094-389-6413,Donstiennes,1,760
268,O,Ap #161-1383 Proin Av.,043-379-7873,Chilliwack,0,572
833,V,"P.O. Box 143, 4608 Cursus. Rd.",034-057-7196,Delianuova,1,419
714,Q,390-5067 Aliquam Rd.,019-391-7239,Contagem,1,992
74,R,"P.O. Box 146, 9071 Metus Av.",091-772-5332,Farciennes,1,256
443,T,8850 Quam St.,092-317-5454,Salem,1,653
905,Germane,Ap #307-2233 Est Road,072-613-2915,Herk-de-Stad,1,264
661,Rina,919-4003 Donec Street,066-828-0478,Zaltbommel,1,409
152,Xantha,Ap #716-4328 Nulla Avenue,050-934-1790,Varendonk,0,267
672,Cassady,"P.O. Box 699, 1834 Semper, Av.",041-201-5445,Ficarolo,0,426
62,A,5439 Lobortis Road,013-901-8187,Ahrensburg,0,394
981,Irma,5689 Tincidunt Ave,030-944-7248,Drancy,1,751
893,A,"Ap #468-4434 Amet, Road",071-036-4933,Roccasicura,0,290
226,K,651-4632 Orci St.,036-719-8779,Hull,0,284
155,Kathleen,494-7914 Cursus Street,053-141-3792,College,1,710
33,F,810 Adipiscing Av.,045-349-1716,Frstenwalde,1,741
773,Aspen,"P.O. Box 178, 8123 Tellus Rd.",086-584-3638,Norfolk,1,478
869,I,"P.O. Box 548, 4076 Mauris. Ave",098-215-4232,San Antonio,1,307
97,J,7735 Felis. Street,004-828-1958,Melville,1,285
248,Nash,2938 Duis Rd.,001-936-2355,Lede,1,304
991,Victoria,4472 Elit. Av.,034-634-2473,Pavone del Mella,0,118
546,Alyssa,555-8706 Sagittis Av.,025-362-3438,Melrose,1,750
714,Lydia,"Ap #508-9917 Sed, Rd.",081-973-9816,Rupelmonde,1,560
3,P,Ap #949-4582 Egestas St.,007-950-3565,Rio nell'Elba,0,495
418,Dillon,6178 Et Street,075-904-0181,Habay-la-Neuve,0,363
289,Winter,"Ap #455-8552 A, Road",000-019-9327,Widooie,0,572
128,Dahlia,Ap #328-1951 Ac Avenue,071-366-4479,Barghe,1,828
532,Chase,"P.O. Box 513, 210 Vitae Rd.",046-497-4666,Hohenems,0,117
250,W,1319 Quisque St.,004-101-5284,Westkapelle,0,290
903,B,930-8074 Sed Av.,050-977-5084,Rodez,1,483
555,H,"Ap #931-5408 Nostra, Avenue",042-289-0954,Boneffe,1,650
673,Camille,868-341 Odio St.,071-229-6876,Maple Ridge,0,96
486,Ryder,4726 Volutpat Avenue,075-410-3073,Anchorage,0,125
294,V,"189-3924 Et, Avenue",089-943-7551,Oakham,1,791
565,Berk,5627 Arcu. Avenue,024-252-5861,Santa Fiora,0,940
901,K,"1780 Dui, Ave",099-818-6343,Premeno,1,984
756,P,230-4317 Aliquam Street,022-579-8143,Schore,0,230
847,N,541-483 Leo. St.,064-093-1041,Haguenau,1,469
477,C,"P.O. Box 672, 9032 Urna. Street",003-667-5371,Lrrach,1,542
436,Melvin,"5580 Ullamcorper, Road",013-333-6137,Jodoigne-Souveraine,1,71
617,Ralph,5006 Nulla Street,051-340-9221,San Diego,0,714
787,Z,7306 Eget Street,068-856-0166,Castelseprio,1,885
880,Gloria,Ap #148-9633 Suspendisse Rd.,057-086-0577,Carnoustie,1,648
529,Ray,148-1669 Diam Road,052-328-2997,Bayonne,0,215
60,Cole,795-4816 Consequat Rd.,064-937-7959,Kaiserslauter,0,874
592,Kieran,218-3732 Maecenas St.,058-488-3383,Rouen,1,773
610,Ivan,"P.O. Box 261, 3194 Ac, Road",018-459-3342,Springfield,0,648
482,S,588-4284 Donec Ave,087-105-6850,Weesp,1,810
517,H,Ap #571-1941 Vehicula. Ave,013-105-4506,Kitzbühel,0,313
988,Angela,"P.O. Box 589, 8368 Ipsum Rd.",014-281-1876,Rekem,1,723
21,E,1065 Elit. Ave,032-547-9937,Tilburg,0,397
109,Tucker,Ap #514-7666 Purus Rd.,086-570-6204,Colloredo di Monte Albano,0,784
260,P,Ap #996-1741 Imperdiet Rd.,073-167-8673,Tain,0,328
571,Merrill,"P.O. Box 554, 2386 Metus. St.",027-175-3137,Pune,1,505
767,Jameson,Ap #657-7418 Aliquam Road,052-079-5112,Rio de Janeiro,0,207
705,Dennis,"P.O. Box 999, 2055 Erat Ave",090-089-4324,Tintigny,1,422
553,Honorato,"Ap #527-2725 Purus, Rd.",092-071-1489,Épinal,0,219
395,Gray,"P.O. Box 420, 8028 Tortor Street",018-380-7046,Lincoln,0,174
462,J,287-6035 Mi Rd.,004-740-0618,Sankt Johann im Pongau,1,530
556,Dawn,7477 Feugiat Avenue,034-561-6618,Alexandria,1,417
146,Noel,Ap #946-3922 Bibendum Av.,009-942-4071,Tollembeek,1,2
517,Trevor,298-2301 Lorem Road,045-767-4425,Des Moines,0,672
